track_id,duration,idtype,playcount,rating,notes,track,album
Tlvfrrrrckcvl4ovvup4f7f3vee,192000,5,1,null,,6,hopeless fountain kingdom (Deluxe)
Tqwwn7xrqxobxbiumq743t6wmgu,222000,5,1,null,,1,All Your Fault: Pt. 2
Tbjnigbhufbsor4u3ls2fegjeoq,235000,5,4,null,,11,"Sit Still, Look Pretty"
T3g2zzrfixiupdagq22okn6tzxu,187000,5,1,null,,1,Solo (feat. Demi Lovato)
Tdmxuabsnst4vy3cq4p5tb343sy,194000,5,1,null,,1,Red Pill Blues
Telcjy4kpr4aosim5gp4s5pjrb4,206000,5,1,null,,3,Tip Toe (feat. French Montana)
Tkykzdwev6qobdel76f4fykbqpu,203000,5,3,null,,1,Rise
Tvnf7mblieuxfk2zy6devt4lz64,206000,5,4,null,,1,Lukas Graham
Twyqignxeu2r3a7rbqg2d4zy364,182000,5,1,null,,1,Mercy (Loote Remix)
Te4frlkxkppjxrdsqcbvuaa7isu,212000,5,3,null,,5,Attention (Acoustic)
T76h4dwcgz5q3zbrcn3rqtap6pi,172000,5,1,null,,5,Dancer
T3srnlbpmywaqpwbdnndaoff5wa,214000,5,2,null,,1,All Your Fault: Pt. 1
Tjyeff5rml2jvunyxekr2dpfwtm,181000,5,1,null,,1,So Good
T72fnnnefn2i2d5ttrgwbqpitse,183000,5,1,null,,1,Don't Leave
Twjzqhdbbo57jpwggtckmt545ty,208000,5,2,null,,8,Your Song (Acoustic)
Tuqmq5xap36zpmtvmbspdfftxym,225000,5,1,null,,1,Hunter
Tolomkcdqro7her3zpwgztodurq,193000,5,0,null,,1,Know-It-All (Deluxe)
Titldrdny22pkcw7re7fawnfgku,201000,5,0,null,,1,Know No Better
Tkegig55zeeqkg4x5ke4icxwka4,217000,5,0,null,,11,I'll Be There
T3lvsqmnvvezvsnnep5edkqpknq,243000,5,0,null,,10,Love Lies
Tvojp5xcrfhrgzvjudwivdz7wfq,207000,5,0,null,,7,How To Be Single: Original Motion Picture Soundtrack
Twimc4ymgil5kzri5gyjuberz6u,181000,5,2,null,,11,Joytime
T73wkc6xlvn6dffptk3g3ofqor4,207000,5,0,null,,1,÷ (Deluxe)
T7kzpul4pmhmpuzeg2llcaxoy3q,195000,5,5,null,,2,hopeless fountain kingdom (Deluxe)
Tt7pgcxmodaihnccny4zji7jddu,238000,5,0,null,,16,First Love
Tq6dyp5qiywncim2d6h4b33lpae,218000,5,0,null,,24,Expectations
Tozrhnsqopnd5727nb3pu5yggmq,205000,5,0,null,,1,Dua Lipa (Deluxe)
Trexknxckxx5ifspp73snksjmg4,196000,5,0,null,,1,Crowd Pleasers (Vol. II)
Tqbyqoyedt3iug4mrzsjuo4adau,190000,5,0,null,,2,Confident (Deluxe Edition)
Tzgpmgpij2sxn3xrezykspoyk7a,251000,5,1,null,,1,Familiar
Tkjtmvyg22p6us6sxzpxcnl3rbq,179000,5,0,null,,1,Scared To Be Lonely Remixes Vol. 1
Tp2bqjdkctpazdi65bklbli2kbm,161000,5,4,null,,1,Thunder / Young Dumb & Broke (Medley)
T7eqmc5em5jgcg6soledbozx6le,187000,5,0,null,,10,DANCE
Tjj32hmxf4peie3uucjtgngjpjm,182000,5,0,null,,5,Closer (Remixes)
Ttmykv6jghxr7luellum5esu3xm,230000,5,0,null,,1,Speak Your Mind (Deluxe)
Tkwv2lghd4v3xbtvdvgc2qd7vku,227000,5,2,null,,1,Camila
Titpebf5hunyssm7sr3etcmnfau,212000,5,0,null,,1,New
T56f73wcyfmuawsrdkc5gsdnbhm,219000,5,0,null,,1,Gone
Tcud4lre2khftdf6qztisvtezbu,215000,5,0,null,,13,Symphony (feat. Zara Larsson) [Alternative Version]
Tdmbigeaqkedngvs2qdauwn5qca,245000,5,1,null,,1,Wildfire
Tjylul6lautfumtl4snfea4rurm,193000,5,0,null,,1,So Good
Tjyvioj62pcrpybamyjy2m6wd6q,211000,5,0,null,,2,Fifty Shades Darker (Original Motion Picture Soundtrack)
,,,,,,,Born To Be Yours
,,,,,,,Dessert
